original_id,alias,name,teaser,description,metakeys,metadesc,is_music,catnum,genre,length,quality,tracklist,release,cover,relations,created,viewed,timestamp
12,hobh-three,"Дом разбитых сердец III, такая Lite","Только тогда рождаются такие сеты, когда по-настоящему больно...","Только тогда рождаются такие сеты, когда по-настоящему больно...",Дом разбитых сердец,"Только тогда рождаются такие сеты, когда по-настоящему больно...",1,MNT019,"Rock, Alternative",58:25,LAME 320kbps 44100Hz,"1. Radiohead - Street spirit
2. Blink 182 - I miss you
3. Khoiba - That reason
4. Royksopp - Vision one 
5. Planet Funk - Ultraviolet days
6. Depeche Mode - Freelove
7. Red Hot Chili Peppers - Scar tissue
8. Coldplay - Clocks
9. Sum 41 - Pieces
10. Three Days Grays - Home
11. Linkin Park - In the end
12. The Cardigans - Erase and rewind
13. Air - How does it make you feel",./content/release/M19_Manti_HOBH_03_So_lite.mp3,./content/covers/hobh-3.jpg,"10,11,13",2009-10-14 00:00:00,86,2017-04-29 16:24:55
13,hobh-four,"Дом разбитых сердец 4, южные сны","Опять с разбитым сердцем, опять все болит, ноет и плачет… Не собирался компиляцию эту выпускать, по крайней мере так быстро, но так уж сошлись звезды.","Опять с разбитым сердцем, опять все болит, ноет и плачет… Не собирался компиляцию эту выпускать, по крайней мере так быстро, но так уж сошлись звезды, да и много чего накипело, поэтому высказался так, как смог. Многое мне очень близко в этих словах: «кое что между строк, кое что в кавычках». Спасибо парням, которые их пишут. Не относитесь серьезно к качеству, технике и другим бездушным параметрам, просто слушайте, если вам это близко.",Дом разбитых сердец,"Опять с разбитым сердцем, опять все болит, ноет и плачет… ",1,MNT022,Hip-Hop,43:12,LAME 320kbps 44100Hz,"1. Guf feat. Princip – Заходит луна
2. Баста – Любовь без памяти
3. Krec feat. Maestro A-Sid – Весна
4. Каста – Встреча
5. Смоки Мо – Герман и Патрик
6. Дельфин – Надежда
7. Guf feat. Ба – Дома
8. Krec – Другие берега
9. Лельфин – Любовь
10. Михей и Джуманжи – Сука любовь
11. Krec – Южные сны",./content/release/M22_Manti_HOBH_04_Yuzhnye_sny.mp3,./content/covers/hobh-4.jpg,"10,11,12",2010-05-18 00:00:00,100,2017-04-29 16:24:31
14,about,Обо мне,"Родился и вырос в г.Новополоцке (Беларусь). Сейчас живу в Минске.
Закончил музыкальную школу по классу фортепиано (11 лет!!!). Из них 6 лет отбомбил в ударной группе духового оркестра.","<img src=""/content/images/cut.jpg"" class=""post-image"" alt=""Manti""/>
<p>
    <i>
        Я творю только тогда, когда приходит муза. Если сидеть и специально выдавливать из себя, то и результат
        получится соответствующий...
    </i>
</p>
<p>
    Я родился и вырос в СССР, г.Новополоцк (Беларусь). Сейчас живу в Минске.
</p>
<p>
    Закончил музыкальную школу по классу фортепиано, 6 лет отбомбил в ударной группе духового оркестра.
</p>
<p>
    Потом университет ПГУ, программное обеспечение информационных и интернет технологий, т.е. я - программист,
    чем и зарабатываю себе на жизнь.
</p>
<p>
    Интерес к музыке возник где-то в году '98. Сначала это было как у большинства моих друзей - Дельфин и Земфира,
    а потом меня понесло в другую от всех сторону - Freestylers, Bonfunk MC's, потом The Prodigy, Scooter,
    Chemical Brothers и т.д.
</p>
<p>
    По сути люблю Deep, Noise, Drum, Minimal и еще кучу других направлений и стилей, также и играю, почти все, что
    нравится.
</p>
<p>
    Поворотные музыкальные моменты в жизни - Richie Hawtin, Lator, а с утра Слава Финист. Отсюда и началась
    эпопея с теч хаузом и минималом. Дальше был Бес (Dj Bes) на пару с Noisia. Немаловажными в формировании вкуса были
    поездки на КаZАнтип в '05, '06 и '09 годах.
</p>
<p>
    Позже был лес, Olien, Goa Gil - так я познакомился и заинтересовался психоделикой. После чего и родился двойник
    Janaca Express, который в последствии был отыгран ""в живую"" в лесу.
</p>
<p>
    Долгое время очень интересовал драм, а точнее Techstep и Neurofunk. Два основных фактора, повлиявших на это -
    первых 56 релизов лэйбла ""Subtitles"" и творчество монстра даркстепа - Current Value. На данный момент это
    направление не потеряно, а развивается параллельно в подземных лабораториях.
</p>
<p>
    Последние годы все больше возвращаюсь в чиллаут и хип-хоп. Хауз и его техничное направлению вместе с исконным
    техно и минималом, переехал практически полностью на винил. Иногда и сних пыль сдуваю и пополняю коллекцию чем-то
    свежим.
</p>
<p>
    На новый 12-й год сделал себе подарок - собрал комплект трактора, чему был несказанно рад. Сейчас и использую
    преимущественно его.
</p>
<p>
    <strong>Люблю</strong>: Виниловые пластинки, рупорный аналоговый звук, полноформатные фотоаппараты, Sony и Adidas.
</p>
<p>
    <strong>Ненавижу</strong>: Телефон и беспорядок.
</p>
<p>
    <strong>Рекомендую</strong>: Стивен Содерберг, Трудности перевода, Пол Экман.
</p>
<p>
    <strong>Интересуюсь</strong>: Музыка, акустика, фотография, космос.
</p>
<p>
    <strong>Знаю</strong>: Несколько языков программирования, нотную грамоту и сольфеджио.
</p>
<p>
    <strong>Умею</strong>: Есть два понятия - хочу и мне лень, а про то что я не умею пока, мне расскажет гугл.
</p>","About,Other,For promouters","Родился и вырос в г.Новополоцке (Беларусь). Сейчас живу в Минске.
Закончил музыкальную школу по классу фортепиано (11 лет!!!).",0,,,,,,,,,2013-01-01 15:32:50,367,2017-04-28 01:54:36
16,copyrights,Правила и Копирайт,"При использовании материалов с данного сайта, обязательна ссылка на сайт, автора и первоисточник!","<p>
    <strong>При использовании материалов с данного сайта, обязательна ссылка на сайт, автора и первоисточник.</strong>
</p>
<p>
    Информация для правообладателей
</p>
<p>
    Если Вы являетесь правообладателем какого-либо материала, ссылка (либо ссылки) на который размещена на этом сайте,
    и не хотели бы чтобы данная информация распространялась пользователями без Вашего на то согласия, то мы будем
    рады оказать Вам содействие, удалив соответствующие ссылки.
</p>
<p>
    Для этого необходимо, чтобы вы прислали нам письмо (в электронном виде) в котором указали нам следующую информацию:
<ol>
    <li>Документальное подтверждение ваших прав на материал, защищенный авторским правом:
        <ul>
            <li>
                Отсканированный документ с печатью, либо
            </li>
            <li>
                Email с официального почтового домена компании правообладателя, либо
            </li>
            <li>
                Иная контактная информация, позволяющая однозначно идентифицировать вас, как правообладателя данного
                материала.
            </li>
        </ul>
    </li>
    <li>
        Текст который Вы желаете разместить в сопровождении удаляемой информации. В нем вы можете указать где, и на
        каких условиях можно получить информацию, ссылки на которую были удалены, а так же ваши контактные данные, для
        того чтобы пользователи могли получить от вас всю интересующую их информацию относительно данного материала.
    </li>
    <li>
        Прямые ссылки на страницы сайта, которые содержат ссылки на данные, которые необходимо удалить. Ссылки должны
        иметь вид http://manti.by/xxxx/ либо подобный.
    </li>
</ol>
<p>
    После этого, в течении 48 часов, мы удалим интересующие Вас ссылки с сайта.
</p>
<p>
    <strong>ВНИМАНИЕ!!!</strong>
</p>
<p>
    Мы оставляем за собой право публикации на сайте любой информации присланной нам по почте через форму обратной
    связи.
</p>
<p>
    Мы не осуществляем контроль за действиями пользователей, которые могут повторно размещать ссылки на
    информацию, являющуюся объектом вашего авторского права. Любая информация на форуме, размещается автоматически, без
    какого либо контроля с чьей либо стороны, что соответствует общепринятой мировой практике размещения информации в
    сети интернет. Однако, мы в любом случае рассмотрим все Ваши запросы, относительно ссылок на информацию, нарушающую
    Ваши права.
</p>
<p>
    Согласно закону об Авторском и Смежном правах, ссылка на любые данные (информационное сообщение),
    сама по себе, не является объектом авторского права. Таким образом, не стоит присылать письма содержащие угрозы либо
    требования, как не имеющие под собой реальных оснований.
</p>","Other,Copyrights","При использовании материалов с данного сайта, обязательна ссылка на сайт, автора и первоисточник!",0,,,,,,,,,2013-01-01 15:32:50,128,2017-04-28 01:48:50
17,bar-launge,Bar La'unge live,"Приятное сочетание лаунжа, драма, айсид джаза.","Приятное сочетание лаунжа, драма, айсид джаза.","Acid Jazz,Lounge,Ambient,Bar La'unge,Chillout,MNT008,Drum and Bass","Приятное сочетание лаунжа, драма, айсид джаза.",1,MNT008,"Lounge, Acid Jazz",67:34,LAME 192kbps 44100Hz,"1. Groove Armada - Suntoucher
2. Lemon Jelly - 95 aka make things right  
3. One Self - Unfamilar places
4. Dj Dobry Chlopak - Waco (Pono pele)
5. Bebel Gilberto - Aganju (John Beltram mix)    
6. Copabossa - Mihna (Namorada mix)
7. Jehro - All I want  
8. Ohm G & Bruno - One  
9. Linn & Freddie - Live 4 love  
10. Aural Float - Still here  
11. LTJ Bukem - Journey inward
12. Nookie - Natural experience
13. Macoto - Where are you going?
14. Vice versa - Still don't it
15. Telepopmusik - Yesterday was a lie",./content/release/M08_Manti_Bar_Launge_mix.mp3,./content/covers/bar-launge.jpg,"10,11,28",2007-10-27 00:00:00,71,2017-04-23 23:52:48
18,basstech,Special mix for Basstech,"Сет записан специально для программы BASSTECH (novoeradio.by/basstech). Все треки сведены ""вживую"" в гостях у Ильи (Dj Hotei), за что ему большое спасибо.","Сет записан специально для программы BASSTECH (<a href=""http://novoeradio.by/basstech"">novoeradio.by/basstech</a>). Все треки сведены ""вживую"" в гостях у Ильи (Dj Hotei), за что ему большое спасибо.

Переделки: до – подправил трек ""Im gonna bite you"", заменил конец и перенес его в середину, и подправил трек ""GITS"", приклеив в начале и в конце ОРИГИНАЛЬНЫЙ саундтрек к аниме ""Ghost in the shell""; после записи единственным усовершенствованием был мастеринг (Izotope Ozone, L2).

Практически все треки представляют собой классический нейрофанк, часть треков европейский (Noisia, Spor), часть российский (Marqus, Paperclip).","Neurofunk,Technoid,Drum and Bass,Basstech,MNT018","Сет записан специально для программы BASSTECH (novoeradio.by/basstech). Все треки сведены ""вживую"" в гостях у Ильи (Dj Hotei), за что ему большое спасибо.",1,MNT018,"Neurofunk, Technoid",58:42,LAME 320kbps 44100Hz,"1. Engage - Im gonna bite you
2. Marqus - Angel  
3. Bes & Flame - Eurofunk  
4. Noisia - Exorcism
5. Skynet - Carbon shock (Noisia remix)      
6. Noisia - Block control  
7. Hightech - GITS  
8. Marqus - Mirage  
9. Paperclip - Shogun  
10. Paperclip - Bearing death  
11. Spor - Supernova  
12. Noisia, Maldini and Vegas - Meditation
13. Quadrant - Rage and rapture  ",./content/release/M18_Manti_Special_mix_for_Basstech_(novoeradio.by).mp3,./content/covers/basstech.jpg,"19,33,34",2009-05-21 00:00:00,80,2017-04-29 11:10:12
19,basstech-2,Mix for Basstech part 2,"Второй выход на программе BASSTECH (novoeradio.by/basstech). Все треки сведены ""вживую"", правда на скорую руку, поэтому немного пострадало качество, но тем не менее сет есть и его можно слушать. ","Второй выход на программе BASSTECH (<a href=""http://novoeradio.by/basstech"">novoeradio.by/basstech</a>). Все треки сведены ""вживую"", правда на скорую руку, поэтому немного пострадало качество, но тем не менее сет есть и его можно слушать. 

Большинство треков ""отечественного"" производителя, представляющие собой Русский нейрофанк, от диповых и лайтовых направлений, до самых жирных и безкомпромисных. Есть и немного техноида, для любителей прямой и сумашедшей бочки...","Neurofunk,Technoid,Drum and Bass,Basstech,MNT020","Второй выход на программе BASSTECH. Все треки сведены вживую, правда на скорую руку, поэтому немного пострадало качество, но тем не менее сет ",1,MNT020,"Neurofunk, Technoid",56:18,LAME 320kbps 44100Hz,"1. Strauss - Also sprach Zarathustra op.30 (Introduction)
2. Miditacia - Power station  
3. Miditacia - Anomalies  
4. Brainfuzz - Scope  
5. Hedj & Proktah - Rhino    
6. Receptor - Rhyno    
7. Marqus - Paranoik  
8. Rregula and Dementia - Fortress  
9. Isotop feat Shots and Kaiza - Kartago
10. Dereck - Apollo    
11. Nickbee - Iodine  
12. Paperclip - Infinite drift  
13. Receptor - Kurchatov      
14. Telefon tel aviv - Fahrenheit fair enough (Prefuse 73 bonus beats remix)",./content/release/M20_Manti_Mix_for_Basstech_(novoeradio.by).mp3,./content/covers/basstech-2.jpg,"18,31,33",2010-02-04 00:00:00,70,2017-04-29 11:02:27
20,chillhouse-live,Chillhouse live,Практически классический хаус с некоторыми примесями дипа и теч ноток. Записан "вживую" в клубе ХХ век. ,Практически классический хаус с некоторыми примесями дипа и теч ноток. Записан "вживую" в клубе ХХ век. ,"Deep House,Tech House,Chillhouse,Live,MNT012",Практически классический хаус с некоторыми примесями дипа и теч ноток. Записан "вживую" в клубе ХХ век. ,1,MNT012,"Deep House, Tech House",68:44,LAME 320kbps 44100Hz,,./content/release/M12_Manti_Chillhouse_live.mp3,./content/covers/chillhouse.jpg,"22,25,40",2008-11-08 00:00:00,54,2017-04-24 23:02:53
21,emofunk-,Emofunk (Christmas rave) live,"Предновогодний рэйв с участием: Boro&Moff, Izo, Ipomea, valCool, Enegy.
Было ТРИ литра водки и много-много трупов... ","Предновогодний рэйв с участием: Boro&Moff, Izo, Ipomea, valCool, Enegy.
Было ТРИ литра водки и много-много трупов... ","Neurofunk,Technoid,Drum and Bass,Live,MNT014","Предновогодний рэйв с участием: Boro&Moff, Izo, Ipomea, valCool, Enegy.
Было ТРИ литра водки и много-много трупов... ",1,MNT014,"Neurofunk, Technoid",51:11,LAME 320kbps 44100Hz,,./content/release/M14_Manti_Emofunk_live.mp3,./content/covers/christmas-rave.jpg,"9,18,19",2008-12-27 00:00:00,71,2017-04-24 05:23:28
22,cote-d-azur,Cote d'Azur promo,"Летний, летний микс, который лучше слушать стоя на песке и вдыхая запах соленого морского воздуха. Многое навеяно летней погодой, оупенами и людьми, которые меня окружали все это время.","Летний, летний микс, который лучше слушать стоя на песке и вдыхая запах соленого морского воздуха. Многое навеяно летней погодой, оупенами и людьми, которые меня окружали все это время.

По сути своей является сборкой лучших треков из двух моих различных компилов за летний период. Так что слушаем и наслаждаемся.","Tech House,Funky House,Cote d'Azur,Promo,MNT030","Летний, летний микс, который лучше слушать стоя на песке и вдыхая запах соленого морского воздуха.",1,MNT030,Tech House,1:00:38,LAME 320kbps 44100Hz,"1. Strict Border - Reboot Me (Hermanez remix) - Suara
2. Danny Serrano & Westboy - Bubblegun - Suara
3. Juliet Sikora, Tube & Berger - Jam Word Up (Original mix) - Kittball
4. MSMS - Hold it (Original mix) - Plastic city
5. Marco Bailey - Rubber band - Bedrock
6. Piek - Burn Baby Burn (Siwell Remix) - Sphera
7. Taster Peter, Phunx - Jack This Tune (Mario Ochoa remix) - Bitten
8. Tiger Stripes - Give You Up - Toolroom
9. Richard Grey - You are my high (Federico Scavo remix) - Tiger
10. Marco Bailey - Jungle laps - Bedrock
11. Oscar Barila and Maiki - Debbie white (Simone Tavazzi remix) - Kostbar
12. Andrew Bayer - Gaff's Eulogy - Anjunadeep",./content/release/M30_Manti_Cote_d-Azur_(Summer-Autumn-12_promo).mp3,./content/covers/cote-d-azur.jpg,"6,20,40",2012-08-25 00:00:00,125,2017-04-24 06:55:48
23,all-she-wants-is,All she wants is (SCSI device),"Одна из первых и очень старых работ, сделанная под впечатлением и польско-немецких техно отцов...","Одна из первых и очень старых работ, сделанная под впечатлением и польско-немецких техно отцов...","Tech House,Deep House,All she wants is,MNT002","Одна из первых и очень старых работ, сделанная под впечатлением и польско-немецких техно отцов...",1,MNT002,"Tech House, Deep House",1:11:39,LAME 320kbps 44100Hz,,./content/release/M02_Manti_All_she_wants_is_mix_(SCSI_device).mp3,./content/covers/all-she-wants.jpg,"6,8,20",2005-10-12 00:00:00,64,2017-04-25 00:50:26
24,iris,"IRIS, it's all about me promo","Очень длительная и кропотливая работа, как технически, так и идейно. Выдержана в классическом стиле deep house, с привнесением ноток Tech House и Deep House.","Очень длительная и кропотливая работа, как технически, так и идейно. Выдержана в классическом стиле deep house, с привнесением ноток Tech House и Deep House.","Deep House,Tech House,IRIS,It's all about me,MNT004,Promo","Очень длительная и кропотливая работа, как технически, так и идейно. Выдержана в классическом стиле deep house, с привнесением ноток Tech House и De",1,MNT004,"Deep House, Tech House",1:00:15,LAME 320kbps 44100Hz,"1. Lator - Rolling children  
2. Acos CoolKAs feat. Metropoliz - Friends (Vocal mix)
3. Brooks - Pink Sigarettes (Ajazz mix)
4. Raz Ohara - This'a beautiful day (Mathias Schaffhauser mix)  
5. Jussipekka - Breeze
6. Gamat 3000 - Whispering  
7. Phunk Diggaz - Whispers  
8. Terry Lee Brown Jr. - Bad house music (Dub'98)  
9. Plank 15 - Strings of life  
10. Lator - Clown fish (kaZantip mix)  ",./content/release/M04_Manti_Iris_mix_(Spring-Summer-07_promo).mp3,./content/covers/iris.jpg,"6,8,23",2007-02-18 00:00:00,80,2017-04-23 11:39:59
25,hi-pass,Hi-Pass live,"Сладкий летний микс на популярные минимальные темы. 
","Сладкий летний микс на популярные минимальные темы. 

Рассвет в июне: ""... у нас было два пакета травы, 75 таблеток мискалина, 5 упаковок кислоты, пол солонки кокаина и бесконечное множество транквилизаторов всех сортов и расцветок, а также текила, ром, ящик пива, пинта чистого эфира и амил нитрат..."" Хантера С. Томпсон.","Tech House,Minimal Techno,Hi-Pass,MNT005",Сладкий летний микс на популярные минимальные темы. ,1,MNT005,"Tech House, Minimal Techno",53:22,LAME 160kbps 44100Hz,,./content/release/M05_Manti_Hi-Pass_live.mp3,./content/covers/hi-pass.jpg,"6,8,23",2007-06-05 00:00:00,85,2017-04-29 11:16:56
26,janaca-express,Janaca express part 01,"Микс, состоящий из двух частей, какждая из которых отличается как эмоционально, так технически и стилистически. В то же время весь материал поддерживает идею трансовой приходелической музыки, хотя и не так глубоко, как классический псай.","Микс, состоящий из двух частей, какждая из которых отличается как эмоционально, так технически и стилистически. В то же время весь материал поддерживает идею трансовой приходелической музыки, хотя и не так глубоко, как классический псай.

Будет особенно интесно тем, кто не любит классический, довольно жестокий псай, но в то же время интересуется довольно быстрыми формами (около 145bpm).","Goa Trance,Psy Trance,MNT006,Janaca Express","Микс, состоящий из двух частей, какждая из которых отличается как эмоционально, так технически и стилистически. В то же время весь матери",1,MNT006,"Goa Trance, Psy Trance",1:00:39,LAME 192kbps 44100Hz,"1. Silicon Sound feat. Psychotrop - Departure
2. Silent Sphere - Violet visions  
3. Electro Sun - High cue  
4. Astrix - Tweaky  
5. Psypsiq Jicuri - A rain of hope in the galaxy  
6. Xerox & Illumination - Temporary insanity  
7. Astrix - Techno widows  
8. Delerious - Dynamic force
9. Astrix feat. Michele Adamson - Closer to heaven  ",./content/release/M06_Manti_Janaca_express_mix_01.mp3,./content/covers/janaca.jpg,"27,28,30",2007-09-10 00:00:00,65,2017-04-24 22:26:48
27,janaca-express-01,Janaca express part 02,Вторая часть моего трипа в зазеркалье...,Вторая часть моего трипа в зазеркалье...,"Goa Trance,Psy Trance,MNT009,Janaca Express",Вторая часть моего трипа в зазеркалье...,1,MNT009,"Goa Trance, Psy Trance",59:38,LAME 192kbps 44100Hz,"1. Intro - Tristan  
2. Quantum feat. Keren Porat - Janaca express
3. Rocky vs. Galactika - Global air (Monster edit)  
4. Zen Mechanics - Vurt  
5. Space Vision - Mascer jedi
6. Lucy - Flash damage
7. Insomnia - The real thing  
8. Magoon - Future
9. Sangeet - Distorted dream
10. Vibe Tribe - Kick the bass  ",./content/release/M09_Manti_Janaca_express_mix_02.mp3,./content/covers/janaca.jpg,"26,28,30",2007-10-27 00:00:00,60,2017-04-30 01:11:13
28,marrakesh,Marrakesh,"Воcточное тепло, пряности и ритмы. Смесь индастриала и медитаций на вольные темы...","Воcточное тепло, пряности и ритмы. Смесь индастриала и медитаций на вольные темы...","Ambient,Chillout,Easy Listening,Marrakesh,MNT010","Воcточное тепло, пряности и ритмы. Смесь индастриала и медитаций на вольные темы...",1,MNT010,"Chillout, Ambient",56:48,LAME 192kbps 44100Hz,"1. Deepac Ram - Between thoughts
2. Trianglesun - Budha
3. Enamoured - Mooli
4. Pete Vicary - D-maddix
5. Monsoon Day - Spice trail
6. Muslimgauze - Hussein Mahmood Jeeb Tehar Gass  
7. Slack Baba - Drink more tea (Herbal mix)  
8. Enrico Experience - Bine el barah quel liom
9. Vibrasphere - San Pedro  ",./content/release/M10_Manti_Marrakesh_mix.mp3,./content/covers/marrakesh.jpg,"10,12,17",2008-01-07 00:00:00,61,2017-04-13 04:34:34
29,helloween-live,Helloween live,"Первый опыт работы с дрымдыбасом, с его довольно агрессивным и жестким направлением neurofunk. Технически не все так гладко, но, по-моему, компиляция сглаживает эти огрехи...","Первый опыт работы с дрымдыбасом, с его довольно агрессивным и жестким направлением neurofunk. Технически не все так гладко, но, по-моему, компиляция сглаживает эти огрехи...

Сподвигли меня на этот эксперимент с дрымдыбасом, \""случайно\"" скачанные первые 56 релизов лэйбла SUBTITLES)))","Neurofunk,Drum and Bass,MNT011,Helloween live","Первый опыт работы с дрымдыбасом, с его довольно агрессивным и жестким направлением neurofunk. Технически не все так гладко, но, по-моему, ком",1,MNT011,"Neurofunk, Technoid",36:01,LAME 320kbps 44100Hz,,./content/release/M11_Manti_Helloween_party_live.mp3,./content/covers/helloween.jpg,"9,18,21",2008-10-31 00:00:00,92,2017-04-24 23:43:16
30,janaca-express-live,Janaca Express live,"Живая версия двух частей гоа трипа Janaca Express, записанного в прошлом году...","Живая версия двух частей гоа трипа Janaca Express, записанного в прошлом году...","Goa Trance,Psy Trance,Janaca Express,Live,MNT013","Живая версия двух частей гоа трипа Janaca Express, записанного в прошлом году...",1,MNT013,"Goa Trance, Psy Trance",1:04:26,LAME 320kbps 44100Hz,"1. Silicon Sound feat. Psychotrop - Departure
2. Silent Sphere - Violet visions 
3. Electro Sun - High cue 
4. Astrix - Tweaky 
5. Psypsiq Jicuri - A rain of hope in the galaxy 
6. Xerox & Illumination - Temporary insanity 
7. Astrix - Techno widows 
8. Delerious - Dynamic force
9. Astrix feat. Michele Adamson - Closer to heaven",./content/release/M13_Manti_Janaca_express_live.mp3,./content/covers/janaca.jpg,"26,27,28",2008-11-08 00:00:00,104,2017-04-29 12:38:27
31,killing-machine,Killing machine,"Мрачнейший микс в моей жизни, даже вся серия гоа и рядом не стояла по жестокости. Записан микс был после долгих экспериментов в клубах, над теми кому \""побарабану\"".","Мрачнейший микс в моей жизни, даже вся серия гоа и рядом не стояла по жестокости. Записан микс был после долгих экспериментов в клубах, над теми кому \""побарабану\"". Технически - лапата, пару мест просто захлебывались от количества звука.

Микс был записан в домашних условиях, причем разные куски в разных программах. Использовал практически весь спектр своего софта:
Samplitude: intro, duomix и конечный мастеринг.
Ableton: darkstep\'овая часть.
Tracktor: technoid\'ная часть.","Darkstep,Technoid,Drum and Bass,Killing machine,MNT016","Мрачнейший микс в моей жизни, даже вся серия гоа и рядом не стояла по жестокости. Записан микс был после долгих экспериментов в клубах, на",1,MNT016,"Darkstep, Technoid",49:55,LAME 320kbps 44100Hz,"1. Intro - Red or blue (Matrix)
2. Current Value & Donny - Nightmare man  
3. Limewax - One of them (Current Value remix)    
4. Counterstrike - Stardurst
5. Limewax - Cracking core (Technical Itch vip mix)
6. Prozac & Ethex - The game
7. Current Value - Stomache
8. Dying Punks & Current Value - Love all the people    
9. Paperclip - Simple access  
10. Limewax vs. Phobos feat. SPL - He will find us (Duomix)
11. Oceanlab - Clear blue water (Current Value remix)    ",./content/release/M16_Manti_Killing_machine_mix.mp3,./content/covers/killing-machine.jpg,"18,19,33",2009-03-15 00:00:00,71,2017-04-25 00:17:12
32,trauma,Trauma ,"Этот сет, как никакой другой выстрадан физически и придуман в травматологическом отделении больницы моего родного города, после жесткого падения на горных лыжах.","Этот сет, как никакой другой выстрадан физически и придуман в травматологическом отделении больницы моего родного города, после жесткого падения на горных лыжах.

Практически полностью сет скомпилен в больнице, позже собран одной (целой) рукой при помощи ACID Pro от компании Sony и пары стандартных примочек: Ozone, GCO, Elephant и т.п.

Сет передает всю ту широкую гамму ощущений, которые можно испытать в наших государственных больницах...","Neurofunk,Technoid,Drum and Bass,MNT023,Trauma,Techstep","Этот сет, как никакой другой выстрадан физически и придуман в травматологическом отделении больницы моего родного города, после жестко",1,MNT023,"Neurofunk, Technoid",53:29,LAME 320kbps 44100Hz,"1. Real - When the dream\'s done
2. Cliffhanga - Centipede
3. Paperclip & Malk - Detective  
4. Paperclip & Flame - Bad illumination
5. EBK - Soma
6. Black Sun Empire - Kempi (feat. Nymfo)    
7. Unknown Error - Dark wars  
8. Receptor & Engage - Wi-fi waves  
9. Black Sun Empire - Wasteland (feat. SPL)    
10. Flame - Prehistoric (vip mix)  
11. Katharsys & Gancher - Sky from beyond  
12. Pyro - Restless (Katharsys remix)
13. Nphonix & Enei - Quicksilver    
13. Receptor - Princess  ",./content/release/M23_Manti_Trauma_mix.mp3,./content/covers/trauma.jpg,"18,31,33",2011-03-03 00:00:00,91,2017-04-29 08:36:03
33,renaissance,Renaissance promo,"Утром всегда встает солнце...
Сет - логическое продолжение предыдущей работы, под названием <a href=""/blog/trauma/"">Trauma</a>. В целом не стал перечить себе и нарушать свои традиции - все технично, хороший мастеринг, в начале пожирнее, в конце побыстрее... ","Утром всегда встает солнце...
Сет - логическое продолжение предыдущей работы, под названием <a href=""/blog/trauma/"">Trauma<a>. В целом не стал перечить себе и нарушать свои традиции - все технично, хороший мастеринг, в начале пожирнее, в конце побыстрее... ","Neurofunk,Technoid,Drum and Bass,Renaissance,Promo,MNT024,Techstep","Утром всегда встает солнце...
Сет - логическое продолжение предыдущей работы, под названием Trauma. В целом не стал перечить себе и нарушат",1,MNT024,"Neurofunk, Technoid",1:02:53,LAME 320kbps 44100Hz,"1. Gravediggazz - Trippin (intro)
2. Allied - N-sphere  
3. Asphexia - Profusion  
4. Inside Info - Metronome
5. Encode - None  
6. Malk - Made in sikness
7. Nphonix - False flag    
8. Receptor - Lullaby  
9. Int Company - Uppi    
10. Redject - 7th sorrow
11. Hector - Suddenly (tribute to E.Letov)  
12. Sintax - Metro    
13. Switch Technique - Metro
14. Bop - As is",./content/release/M24_Manti_Renaissanse_(Winter-Spring-12_promo).mp3,./content/covers/renaissanse.jpg,"9,18,32",2011-05-30 00:00:00,114,2017-04-29 10:36:08
34,exception,Exception,"Этот сет является продолжением серии <a href=""/tag/neurostep/"">минималистичных нейро миксов</a>, продолжением работы под названием <a href=""/blog/katana/"">Katana</a>.","Этот сет является продолжением серии <a href=""/tag/neurostep/"">минималистичных нейро миксов</a>, продолжением работы под названием <a href=""/blog/katana/"">Katana</a>.
Одна из первых работ полностью записанная в живую на моем тракторе (Traktor Pro + X1 + TA6), немного была подмастерена, но в целом осталась довольно живой.
Правда, часть свежих треков не вошла в микс, но они попадут в следующий, который уже понемногу собирается.","Techstep,Neurostep,Drum and Bass,Exception,MNT026","Этот сет является продолжением серии минималистичных нейро миксов, продолжением работы под названием Katana.",1,MNT026,"Techstep, Neurostep",51:35,LAME 320kbps 44100Hz,"1. Mortem - Monoveler
2. Icicle - Alien Groove
3. Paimon - Hellraiser  
4. Science Fiction - Abyss  
5. Mortem - Get Close
6. June Miller - Snapcase
7. Alix Perez - Exemption
8. Kabuki & Savine - Backup
9. The Countamen & Alley Cat - Payload (Konflict remix)
10. Science Fiction - Bystander effect  
11. Nickbee & Malc - Cosmos
12. Icicle, Distance - Exhale",./content/release/M26_Manti_Exception_mix.mp3,./content/covers/exception.jpg,"9,19,33",2012-04-25 00:00:00,114,2017-04-29 10:42:20
